time,x,y,vx,vy,yaw
1716570059.847323,0.846496,0.805372,1.194614,-0.951903,0.931645
1716570059.862291,0.898450,0.849156,3.471049,2.925244,0.898471
1716570059.872318,0.914959,0.854916,1.646588,0.574449,0.882273
1716570059.882278,0.912846,0.837908,0.000000,0.000000,0.865085
1716570059.897264,0.922294,0.784592,0.630471,-3.557657,0.810165
1716570059.912286,0.926482,0.753731,0.278804,-2.054427,0.782400
1716570059.922271,0.961841,0.766587,0.000000,0.000000,0.753596
1716570059.947345,0.955894,0.725623,-0.237177,-1.633761,0.704796
1716570059.962283,0.951741,0.692168,-0.278022,-2.239530,0.673797
1716570059.972317,0.964175,0.682578,1.239246,-0.955834,0.652239
1716570059.997268,0.982866,0.646094,0.749090,-1.462171,0.601715
1716570060.007277,1.109270,0.709485,12.628932,6.333331,0.538389
1716570060.022304,1.102829,0.672791,-0.428661,-2.441944,0.508817
1716570060.032295,1.114098,0.658435,0.000000,0.000000,0.485216
1716570060.047299,1.166109,0.653501,3.466421,-0.328822,0.440074
1716570060.062284,1.176057,0.621491,0.663848,-2.136090,0.403250
1716570060.072265,1.170824,0.594770,0.000000,0.000000,0.382399
1716570060.087295,1.208389,0.551985,2.499280,-2.846631,0.328255
1716570060.097299,1.202091,0.521024,-0.629516,-3.094807,0.305578
1716570060.112294,1.191487,0.475685,-0.707180,-3.023602,0.271588
1716570060.122276,1.202012,0.452161,0.000000,0.000000,0.243409
1716570060.132276,1.193758,0.422831,-0.825351,-2.932843,0.220740
1716570060.147305,1.232769,0.411774,2.595730,-0.735730,0.170266
1716570060.162282,1.236484,0.371292,0.248047,-2.703037,0.130748
1716570060.172316,1.324367,0.353565,8.758659,-1.766719,0.056826
1716570060.182296,1.313513,0.322697,0.000000,0.000000,0.034906
1716570060.212290,1.313371,0.203729,-0.004733,-3.966370,-0.063984
1716570060.222305,1.298867,0.171052,-1.448212,-3.262873,-0.086986
1716570060.237300,1.332233,0.125720,2.225078,-3.023114,-0.162256
1716570060.247312,1.315246,0.093051,-1.696663,-3.263019,-0.184396
1716570060.262306,1.288611,0.045648,-1.776319,-3.161437,-0.217553
1716570060.272270,1.296106,-0.000361,0.000000,0.000000,-0.272460
1716570060.297293,1.292303,-0.090557,-0.152001,-3.604558,-0.375623
1716570060.312288,1.277165,-0.141642,-1.009529,-3.406865,-0.421919
1716570060.322269,1.254179,-0.171542,0.000000,0.000000,-0.443256
1716570060.347312,1.214512,-0.259818,-1.583937,-3.524903,-0.515908
1716570060.362282,1.235735,-0.343653,1.417725,-5.600233,-0.597484
1716570060.372299,1.232994,-0.385855,-0.273661,-4.213213,-0.641523
1716570060.398020,1.190691,-0.426671,-1.644640,-1.586832,-0.678320
1716570060.412277,1.153123,-0.458581,-2.635065,-2.238203,-0.701521
1716570060.422302,1.126304,-0.480113,-2.675340,-2.147910,-0.717834
1716570060.437329,1.117711,-0.493096,-0.571859,-0.863979,-0.724427
1716570060.447272,1.146354,-0.547340,0.000000,0.000000,-0.786980
1716570060.462297,1.107704,-0.571591,-2.572301,-1.613973,-0.805103
1716570060.472266,1.096698,-0.598295,0.000000,0.000000,-0.831477
1716570060.482275,1.131837,-0.692134,3.510836,-9.375658,-0.900079
1716570060.497275,1.098668,-0.657559,-2.211327,2.305065,-0.889035
1716570060.507281,1.074662,-0.667384,-2.399162,-0.981905,-0.896155
1716570060.522243,1.068414,-0.716096,-0.417589,-3.255796,-0.924784
1716570060.537328,1.043478,-0.701639,-1.652947,0.958337,-0.915363
1716570060.547273,1.021396,-0.707350,0.000000,0.000000,-0.919647
1716570060.562289,1.008081,-0.736764,-0.886740,-1.958845,-0.946684
1716570060.572272,0.985765,-0.742138,0.000000,0.000000,-0.950985
1716570060.587302,1.050488,-0.777181,4.306142,-2.331462,-0.938403
1716570060.597315,1.051514,-0.800281,0.102426,-2.307091,-0.953943
1716570060.612278,1.087030,-0.889363,2.373539,-5.953319,-0.980711
1716570060.622315,1.068751,-0.889385,-1.821231,-0.002246,-0.979908
1716570060.637310,1.053168,-0.848157,-1.039223,2.749598,-0.954962
1716570060.647297,1.050014,-0.860310,0.000000,0.000000,-0.959158
1716570060.662285,1.025899,-0.854813,-1.609009,0.366739,-0.953577
1716570060.672277,1.009810,-0.851313,0.000000,0.000000,-0.949857
1716570060.682280,1.006820,-0.863645,-0.298974,-1.232896,-0.954018
1716570060.697294,0.979464,-0.813024,-1.821941,3.371347,-0.921462
1716570060.712287,1.030351,-0.896360,3.394205,-5.558584,-0.884685
1716570060.722274,1.042712,-0.921337,0.000000,0.000000,-0.863776
1716570060.737301,1.037479,-0.902242,-0.348234,1.270732,-0.840149
1716570060.747278,1.045669,-0.916870,0.000000,0.000000,-0.832337
1716570060.762283,1.026652,-0.903508,-1.267354,0.890506,-0.820046
1716570060.772267,1.042293,-0.925708,0.000000,0.000000,-0.812346
1716570060.782274,1.072507,-0.958882,3.019069,-3.314955,-0.780314
1716570060.797275,1.053624,-0.930700,-1.258748,1.878693,-0.743052
1716570060.812283,1.052191,-0.927082,-0.095485,0.241077,-0.723950
1716570060.822279,1.041534,-0.915392,0.000000,0.000000,-0.713086
1716570060.837362,1.056992,-0.916583,1.024838,-0.078920,-0.674221
1716570060.847305,1.070293,-0.922522,0.000000,0.000000,-0.655540
1716570060.857295,1.132709,-0.965782,0.000000,0.000000,-0.617355
1716570060.872272,1.142474,-0.962265,0.651970,0.234882,-0.591400
1716570060.912293,1.137067,-0.863127,-0.135084,2.477158,-0.505773
1716570060.922280,1.194152,-0.873109,0.000000,0.000000,-0.472242
1716570060.932279,1.204360,-0.863178,0.000000,0.000000,-0.451289
1716570060.947274,1.193395,-0.791506,-0.731262,4.779715,-0.405288
1716570060.962282,1.184321,-0.757426,-0.604598,2.270706,-0.377676
1716570060.972277,1.195213,-0.743031,0.000000,0.000000,-0.354419
1716570060.982293,1.188578,-0.721070,-0.662426,2.192580,-0.335992
1716570061.012305,1.158321,-0.664948,-1.008143,1.869965,-0.281619
1716570061.022311,1.221186,-0.660115,6.283062,0.482991,-0.240382
