# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.9443,2.3357,0.8000,0.8000
-0.9443,2.3857,0.8000,0.8000
-0.9443,2.4357,0.8000,0.8000
-0.9443,2.4857,0.8000,0.8000
-0.9443,2.5357,0.8000,0.8000
-0.9443,2.5857,0.8000,0.8000
-0.9443,2.6357,0.8000,0.8000
-0.9443,2.6857,0.8000,0.8000
-0.9943,2.7357,0.7500,0.7500
-0.9943,2.7857,0.7500,0.7500
-0.9943,2.8357,0.7500,0.7500
-0.9943,2.8857,0.7500,0.7500
-0.9943,2.9357,0.7500,0.7500
-0.9943,2.9857,0.7500,0.7500
-0.9943,3.0357,0.7500,0.7500
-0.9943,3.0857,0.7500,0.7500
-0.9943,3.1357,0.7500,0.7500
-0.9943,3.1857,0.7500,0.7500
-0.9943,3.2357,0.7500,0.7500
-0.9943,3.2857,0.7500,0.7500
-0.9943,3.3357,0.7500,0.7500
-0.9943,3.3857,0.7500,0.7500
-0.9943,3.4357,0.7500,0.7500
-0.9943,3.4857,0.7500,0.7500
-0.9943,3.5357,0.7500,0.7500
-1.0443,3.5857,0.7018,0.7018
-1.0443,3.6357,0.7071,0.7071
-1.0443,3.6857,0.7159,0.7159
